graph,n,prc,phase_length,delay,initial_positions,lambda2,converged,steps_to_converge,repeated,steps_to_repeat
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
