graph,n,prc,phase_length,delay,initial_positions,converged,steps_to_converge,repeated,steps_to_repeat
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,10.0,1,10.0
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,10.0,1,10.0
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
cycle,2,x,10,0,constrained_first_half,1,7.0,0,
cycle,2,x,10,0,constrained_first_half,1,9.0,0,
cycle,2,x,10,0,constrained_first_half,1,6.0,0,
cycle,2,x,10,0,constrained_first_half,1,8.0,0,
