graph,n,prc,phase_length,delay,initial_positions,converged,steps_to_converge,repeated,steps_to_repeat
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,10.0,1,10.0
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,13.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,6.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,10.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,6.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,6.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,3.0,0,
dumbbell,2,x,10,0,random,1,10.0,1,10.0
dumbbell,2,x,10,0,random,1,3.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,3.0,0,
dumbbell,2,x,10,0,random,1,6.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,3.0,0,
dumbbell,2,x,10,0,random,1,12.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,14.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,3.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,11.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,12.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,8.0,0,
dumbbell,2,x,10,0,random,1,11.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,1.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,12.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,7.0,0,
dumbbell,2,x,10,0,random,1,9.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,5.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,6.0,0,
dumbbell,2,x,10,0,random,1,6.0,0,
dumbbell,2,x,10,0,random,1,4.0,0,
dumbbell,2,x,10,0,random,1,14.0,0,
dumbbell,2,x,10,0,random,1,2.0,0,
dumbbell,2,x,10,0,random,1,10.0,0,
dumbbell,4,x,10,0,random,0,,1,89.0
dumbbell,4,x,10,0,random,1,15.0,0,
dumbbell,4,x,10,0,random,0,,1,67.0
dumbbell,4,x,10,0,random,0,,1,63.0
dumbbell,4,x,10,0,random,1,10.0,0,
dumbbell,4,x,10,0,random,0,,1,62.0
dumbbell,4,x,10,0,random,1,24.0,0,
dumbbell,4,x,10,0,random,0,,1,64.0
dumbbell,4,x,10,0,random,1,13.0,0,
dumbbell,4,x,10,0,random,0,,1,74.0
dumbbell,4,x,10,0,random,0,,1,60.0
dumbbell,4,x,10,0,random,0,,1,75.0
dumbbell,4,x,10,0,random,1,3.0,0,
dumbbell,4,x,10,0,random,0,,1,76.0
dumbbell,4,x,10,0,random,0,,1,31.0
dumbbell,4,x,10,0,random,0,,1,67.0
dumbbell,4,x,10,0,random,0,,1,71.0
dumbbell,4,x,10,0,random,0,,1,92.0
dumbbell,4,x,10,0,random,0,,1,99.0
dumbbell,4,x,10,0,random,0,,1,20.0
dumbbell,4,x,10,0,random,0,,1,20.0
dumbbell,4,x,10,0,random,0,,1,20.0
dumbbell,4,x,10,0,random,0,,1,20.0
dumbbell,4,x,10,0,random,0,,1,32.0
dumbbell,4,x,10,0,random,0,,1,30.0
dumbbell,4,x,10,0,random,0,,1,73.0
dumbbell,4,x,10,0,random,0,,1,71.0
dumbbell,4,x,10,0,random,0,,1,64.0
dumbbell,4,x,10,0,random,0,,1,97.0
dumbbell,4,x,10,0,random,0,,1,73.0
dumbbell,4,x,10,0,random,0,,1,77.0
dumbbell,4,x,10,0,random,0,,1,66.0
dumbbell,4,x,10,0,random,0,,1,98.0
dumbbell,4,x,10,0,random,0,,1,11.0
dumbbell,4,x,10,0,random,0,,1,35.0
dumbbell,4,x,10,0,random,0,,1,97.0
dumbbell,4,x,10,0,random,0,,1,98.0
dumbbell,4,x,10,0,random,1,3.0,0,
dumbbell,4,x,10,0,random,0,,1,18.0
dumbbell,4,x,10,0,random,0,,1,79.0
dumbbell,4,x,10,0,random,0,,1,72.0
dumbbell,4,x,10,0,random,0,,1,69.0
dumbbell,4,x,10,0,random,0,,1,62.0
dumbbell,4,x,10,0,random,0,,1,63.0
dumbbell,4,x,10,0,random,0,,1,61.0
dumbbell,4,x,10,0,random,0,,1,26.0
dumbbell,4,x,10,0,random,0,,1,70.0
dumbbell,4,x,10,0,random,0,,1,22.0
dumbbell,4,x,10,0,random,0,,1,15.0
dumbbell,4,x,10,0,random,0,,1,29.0
dumbbell,4,x,10,0,random,0,,1,19.0
dumbbell,4,x,10,0,random,0,,1,99.0
dumbbell,4,x,10,0,random,0,,1,18.0
dumbbell,4,x,10,0,random,0,,1,98.0
dumbbell,4,x,10,0,random,1,10.0,0,
dumbbell,4,x,10,0,random,0,,1,29.0
dumbbell,4,x,10,0,random,0,,1,28.0
dumbbell,4,x,10,0,random,0,,1,91.0
dumbbell,4,x,10,0,random,1,13.0,0,
dumbbell,4,x,10,0,random,0,,1,73.0
dumbbell,4,x,10,0,random,0,,1,13.0
dumbbell,4,x,10,0,random,0,,1,30.0
dumbbell,4,x,10,0,random,0,,1,73.0
dumbbell,4,x,10,0,random,0,,1,36.0
dumbbell,4,x,10,0,random,0,,1,70.0
dumbbell,4,x,10,0,random,0,,1,64.0
dumbbell,4,x,10,0,random,0,,1,37.0
dumbbell,4,x,10,0,random,0,,1,64.0
dumbbell,4,x,10,0,random,0,,1,69.0
dumbbell,4,x,10,0,random,0,,1,67.0
dumbbell,4,x,10,0,random,0,,1,74.0
dumbbell,4,x,10,0,random,0,,1,62.0
dumbbell,4,x,10,0,random,0,,1,37.0
dumbbell,4,x,10,0,random,0,,1,41.0
dumbbell,4,x,10,0,random,0,,1,89.0
dumbbell,4,x,10,0,random,0,,1,17.0
