graph,n,prc,phase_length,delay,initial_positions,converged,steps_to_converge,repeated,steps_to_repeat
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,8.0,0,
pchord,2,optimal,10,5,random,1,6.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,4.0,0,
pchord,2,optimal,10,5,random,1,8.0,0,
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,5.0,0,
pchord,2,optimal,10,5,random,1,4.0,0,
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,3.0,0,
pchord,2,optimal,10,5,random,1,9.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,10.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,5.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,3.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,5.0,0,
pchord,2,optimal,10,5,random,1,8.0,0,
pchord,2,optimal,10,5,random,1,3.0,0,
pchord,2,optimal,10,5,random,1,5.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,6.0,0,
pchord,2,optimal,10,5,random,1,3.0,0,
pchord,2,optimal,10,5,random,1,9.0,0,
pchord,2,optimal,10,5,random,1,3.0,0,
pchord,2,optimal,10,5,random,1,6.0,0,
pchord,2,optimal,10,5,random,1,9.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,4.0,0,
pchord,2,optimal,10,5,random,1,10.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,9.0,0,
pchord,2,optimal,10,5,random,1,3.0,0,
pchord,2,optimal,10,5,random,1,9.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,10.0,0,
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,4.0,0,
pchord,2,optimal,10,5,random,1,6.0,0,
pchord,2,optimal,10,5,random,1,10.0,0,
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,6.0,0,
pchord,2,optimal,10,5,random,1,10.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,9.0,0,
pchord,2,optimal,10,5,random,1,8.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,9.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,4.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,1.0,0,
pchord,2,optimal,10,5,random,1,7.0,0,
pchord,2,optimal,10,5,random,1,2.0,0,
pchord,2,optimal,10,5,random,1,10.0,1,10.0
pchord,2,optimal,10,5,random,1,3.0,0,
